Product Name,Prices,Category,Type,Image URL(s),Stock Quantity,Description,Product Buy Link,Size/Color Variants,Gender
BHRM Men Silver-Plated Chain with Pendant,₹1899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240102/Dr0j/6593d175afa4cf41f5fa1f66/bhrm_silver-toned_men_silver-plated_chain_with_pendant.jpg,225,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/bhrm-men-silver-plated-chain-with-pendant/p/466935220_silver,silver,Men
Zevora Men Buckle Belt with Auto-Lock Closure,₹1799,Clothing,Belts,https://assets.ajio.com/medias/sys_master/root/20250219/CKW5/67b5086059f8353980dd007d/zevora_black_men_buckle_belt_with_auto-lock_closure.jpg,376,Sleek belt with premium buckle finish — a must-have accessory for a polished look.,https://www.ajio.com/zevora-men-buckle-belt-with-auto-lock-closure/p/701231381_black,black,Men
BEACH CURVE Men Ribbed Socks,₹599,Clothing,Socks,https://assets.ajio.com/medias/sys_master/root1/20251203/poIe/692f4ca48945db77cf07e652/beach_curve_black_men_ribbed_socks.jpg,204,High-performance socks with ribbed construction for grip and all-day comfort.,https://www.ajio.com/beach-curve-men-ribbed-socks/p/702579207_black,black,Men
Star Word Men Regular Fit Trunks with Elasticated Waist,₹1199,Clothing,Trunks,https://assets.ajio.com/medias/sys_master/root1/20250818/zMKo/68a32a2d3d468c61ab755527/star_word_multicoloured_men_regular_fit_trunks_with_elasticated_waist.jpg,278,Comfortable regular-fit trunks in soft breathable fabric for all-day wear.,https://www.ajio.com/star-word-men-regular-fit-trunks-with-elasticated-waist/p/702123179_multi,multi,Men
Yellow Chimes Powerful Sun Sign Stainless Steel Pendant with Chain,₹2399,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20231031/GJ4l/6540ee42ddf779151964f6f9/yellow_chimes_silver-toned_powerful_sun_sign_stainless_steel_pendant_with_chain.jpg,329,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/yellow-chimes-powerful-sun-sign-stainless-steel-pendant-with-chain/p/6005719660_multi,multi,Men
Fabula ESN32EIS3_AJR10 Set of 2 Stone-Studded Stud Earrings,₹2599,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20230321/Sz8w/641912baaeb26924e3db5632/fabula_gold-toned_esn32eis3_ajr10_set_of_2_stone-studded_stud_earrings.jpg,163,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/fabula-esn32eis3-ajr10-set-of-2-stone-studded-stud-earrings/p/465718468_multi,multi,Men
Fabula EIS3-Stone-Studded Stud Earrings,₹2399,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20230628/iAJD/649bb140eebac147fc1d22cd/fabula_gold-toned_eis3-stone-studded_stud_earrings.jpg,201,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/fabula-eis3-stone-studded-stud-earrings/p/465717530_gold,gold,Men
SAZARA Men Classic Belt,₹1799,Clothing,Belts,https://assets.ajio.com/medias/sys_master/root/20240620/HYiX/667403436f60443f315afb27/sazara_black_men_classic_belt.jpg,85,Sleek belt with premium buckle finish — a must-have accessory for a polished look.,https://www.ajio.com/sazara-men-classic-belt/p/700107989_black,black,Men
Oomph EFQ12-Batman Shaped Stud Earrings,₹1899,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20230720/32dK/64b88c0beebac147fc7bec4e/oomph_black_efq12-batman_shaped_stud_earrings.jpg,297,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-efq12-batman-shaped-stud-earrings/p/466372015_black,black,Men
NVR Stainless Steel Chain Link Kada Bracelet,₹2799,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20240705/P5gA/668745d71d763220faeb9792/nvr_silver_stainless_steel_chain_link_kada_bracelet.jpg,355,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/nvr-stainless-steel-chain-link-kada-bracelet/p/700163129_silver,silver,Men
Oomph Women Wooden Buddha Meditation 108 Prayer Beads Bracelet,₹2199,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20241014/UPmO/670ce8f7260f9c41e875c61b/oomph_maroon_women_wooden_buddha_meditation_108_prayer_beads_bracelet.jpg,221,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/oomph-women-wooden-buddha-meditation-108-prayer-beads-bracelet/p/700180505_maroon,maroon,Men
BHRM Men Silver-Plated Chain with Pendant,₹1899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240102/qatW/6593d247afa4cf41f5fa35ec/bhrm_blue_men_silver-plated_chain_with_pendant.jpg,151,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/bhrm-men-silver-plated-chain-with-pendant/p/466935228_blue,blue,Men
BHRM Men Gold-Plated Bracelet,₹2299,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20231219/YMpu/6581c5e1ddf7791519dab3c6/bhrm_brown_men_gold-plated_bracelet.jpg,232,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/bhrm-men-gold-plated-bracelet/p/466898333_brown,brown,Men
Oomph Beads Handmade Fashion  Bracelet,₹2099,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20230727/NwPM/64c253bdeebac147fc8cf9a9/oomph_black__beads_handmade_fashion__bracelet.jpg,291,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/oomph--beads-handmade-fashion-bracelet/p/463556646_black,black,Men
BHRM Men Evil Eye Beaded Bracelet,₹1599,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20231219/Av92/65819b53ddf7791519d95e65/bhrm_black_men_evil_eye_beaded_bracelet.jpg,224,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/bhrm-men-evil-eye-beaded-bracelet/p/466898661_black,black,Men
BHRM Men Couple Chain,₹1899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240102/iAkN/659414c8afa4cf41f5fd0191/bhrm_silver-toned_men_couple_chain.jpg,165,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/bhrm-men-couple-chain-/p/466939558_silver,silver,Men
BHRM Men Woven Wristband,₹2399,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20231211/OPSD/6576fad3afa4cf41f5c3bcf8/bhrm_black_men_woven_wristband.jpg,281,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/bhrm-men-woven-wristband/p/466868836_black,black,Men
NVR Men Set of 4 Beaded Tie-Up Rakhi,₹2399,Clothing,Rakhis,https://assets.ajio.com/medias/sys_master/root/20250428/PNR4/680fc5f755340d4b4f0309ab/nvr_gold_men_set_of_4_beaded_tie-up_rakhi.jpg,158,Beautiful rakhi crafted with care — perfect for celebrating the special bond of siblings.,https://www.ajio.com/nvr-men-set-of-4-beaded-tie-up-rakhi/p/701508170_gold,gold,Men
Oomph Men Pendant with Chain,₹2299,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20250516/kCjl/68269b227a6cd4182f35496a/oomph_silver_men_pendant_with_chain.jpg,361,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/oomph-men-pendant-with-chain/p/701579248_silver,silver,Men
Oomph Men Stone-Beaded Classic Chain,₹2899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20250516/4LnF/68271c8b55340d4b4f3a4580/oomph_gold_men_stone-beaded_classic_chain.jpg,384,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/oomph-men-stone-beaded-classic-chain/p/701579256_gold,gold,Men
Oomph Men Set of 2 Silver-Plated Cubic Zirconia-Studded Stud Earrings,₹2699,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root1/20250716/Y20Z/6876af505d4cb413800d3fda/oomph_silver-toned_men_set_of_2_silver-plated_cubic_zirconia-studded_stud_earrings.jpg,230,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-men-set-of-2-silver-plated-cubic-zirconia-studded-stud-earrings/p/701950986_silver,silver,Men
Oomph Men Set of 2 DumbBell & Bat Stud Earrings,₹2399,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20250714/2bWe/68752d8fe590ff066e533acd/oomph_black_men_set_of_2_dumbbell_%26_bat_stud_earrings.jpg,156,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-men-set-of-2-dumbbell--bat-stud-earrings/p/701947220_black,black,Men
Oomph Men Set of 2 Silver-Plated Cubic Zirconia-Studded Stud Earrings,₹2899,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root1/20250715/i7Ud/6876622a5d4cb4138006a781/oomph_silver-toned_men_set_of_2_silver-plated_cubic_zirconia-studded_stud_earrings.jpg,243,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-men-set-of-2-silver-plated-cubic-zirconia-studded-stud-earrings/p/701950995_silver,silver,Men
Oomph Man Studs Earring,₹2899,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20241103/NZSZ/67278cfd260f9c41e8b8b3cb/oomph_silver_man_studs_earring.jpg,311,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-man-studs-earring/p/700678198_silver,silver,Men
Fabula Men Fashion Earring,₹2799,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20241029/ZxnH/67201695260f9c41e8aa106c/fabula_silver_men_fashion_earring.jpg,356,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/fabula-men-fashion-earring/p/700665768_silver,silver,Men
Fabula Men Silver Chain,₹2999,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20241125/wB8a/6743922a0f47f80c87a5daa3/fabula_silver_men_silver_chain.jpg,396,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/fabula-men-silver-chain/p/700796114_multi,multi,Men
Fabula BOIS6-Cross Wristbands,₹2099,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20230727/cpvu/64c2582beebac147fc8d94eb/fabula_black_bois6-cross_wristbands.jpg,286,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/fabula-bois6-cross-wristbands/p/465271300_black,black,Men
Fabula BSN22-Beaded Evil-Eye Bracelet,₹2399,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20230628/nt2B/649b89d3eebac147fc17f923/fabula_black_bsn22-beaded_evil-eye_bracelet.jpg,294,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/fabula-bsn22-beaded-evil-eye-bracelet/p/465661622_black,black,Men
BHRM Set of 2 Men Silver-Plated Bracelet,₹1699,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20231220/mPjs/6581f7e8ddf7791519db1010/bhrm_silver_set_of_2_men_silver-plated_bracelet.jpg,207,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/bhrm-set-of-2-men-silver-plated-bracelet/p/466898665_silver,silver,Men
BHRM Set of 2 Typographic Print Silver-Plated Band Rings,₹1799,Clothing,Rings,https://assets.ajio.com/medias/sys_master/root/20240102/oZpR/6593e876afa4cf41f5fb8985/bhrm_silver-toned_set_of_2_typographic_print_silver-plated_band_rings.jpg,400,Statement ring with unique design — a standout accessory for any look.,https://www.ajio.com/bhrm-set-of-2-typographic-print-silver-plated-band-rings/p/466936756_silver,silver,Men
Bold by Priyaasi Men Lion Face Gold-Plated Ring,₹1899,Clothing,Rings,https://assets.ajio.com/medias/sys_master/root/20240502/mviL/663380e316fd2c6e6ae23298/bold_by_priyaasi_gold-plated_men_lion_face_gold-plated_ring.jpg,361,Statement ring with unique design — a standout accessory for any look.,https://www.ajio.com/bold-by-priyaasi-men-lion-face-gold-plated-ring/p/466956912_gold,gold,Men
BHRM Men Silver-Plated Chain with Pendant,₹1899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240102/2xJk/6593d93aafa4cf41f5faea2f/bhrm_multicoloured_men_silver-plated_chain_with_pendant.jpg,380,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/bhrm-men-silver-plated-chain-with-pendant/p/466935193_multi,multi,Men
Oomph EOIS12-Stone Studs Earrings,₹2099,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20230727/r3td/64c25497a9b42d15c9731133/oomph_silver-toned_%26_white_eois12-stone_studs_earrings.jpg,216,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-eois12-stone-studs-earrings/p/464050155_white,white,Men
Yellow Chimes Music Headphones Designer Stainless Steel Pendant with Chain,₹2899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20230411/IZgw/64348c24711cf97ba71a0f29/yellow_chimes_silver-toned_music_headphones_designer_stainless_steel_pendant_with_chain.jpg,316,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/yellow-chimes-music-headphones-designer-stainless-steel-pendant-with-chain/p/6005719670_multi,multi,Men
Oomph Men Set of 2 Silver-Plated American Diamond-Studded Stud Earrings,₹2499,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20240520/w5ev/664b7eac05ac7d77bb67bec2/oomph_silver-toned_men_set_of_2_silver-plated_american_diamond-studded_stud_earrings.jpg,159,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-men-set-of-2-silver-plated-american-diamond-studded-stud-earrings/p/467344104_silver,silver,Men
Fabula Earring,₹2499,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20241023/UFDO/6718d271f9b8ef490bd768b0/fabula_silver_earring.jpg,239,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/fabula-earring/p/700632811_silver,silver,Men
Oomph Men Gold-Plated Link Chain,₹2099,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240713/TY4m/6691833c6f60443f31fad920/oomph_gold-toned_men_gold-plated_link_chain.jpg,333,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/oomph-men-gold-plated-link-chain-/p/700187552_gold,gold,Men
Fabula Men Combo of 2 Black Beads Bracelet,₹2799,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20241203/qGY6/674ef65b0f47f80c87cda62b/fabula_black_men_combo_of_2_black_beads_bracelet.jpg,166,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/fabula-men-combo-of-2-black-beads-bracelet/p/700863613_black,black,Men
Fabula BFQ11_AJR4 Braided Leather Wrap Bracelet,₹2499,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20230329/wEb1/64247c6a907deb497abb558e/fabula_black_bfq11_ajr4_braided_leather_wrap_bracelet.jpg,362,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/fabula-bfq11-ajr4-braided-leather-wrap-bracelet/p/465993087_black,black,Men
SAZARA Men Belt with Auto Lock Buckle Closure,₹1799,Clothing,Belts,https://assets.ajio.com/medias/sys_master/root/20250408/5ctk/67f429f255340d4b4fb9e4d3/sazara_black_men_belt_with_auto_lock_buckle_closure.jpg,317,Sleek belt with premium buckle finish — a must-have accessory for a polished look.,https://www.ajio.com/sazara-men-belt-with-auto-lock-buckle-closure/p/701425840_black,black,Men
SAZARA Men Belt with Auto Lock Buckle Closure,₹1799,Clothing,Belts,https://assets.ajio.com/medias/sys_master/root/20250408/ySip/67f450e055340d4b4fba25f0/sazara_black_men_belt_with_auto_lock_buckle_closure.jpg,166,Sleek belt with premium buckle finish — a must-have accessory for a polished look.,https://www.ajio.com/sazara-men-belt-with-auto-lock-buckle-closure/p/701425838_black,black,Men
NVR Men Set of 2 Beads Rakhi With Roli Chawal & Chocolate,₹2399,Clothing,Rakhis,https://assets.ajio.com/medias/sys_master/root/20250408/sRwx/67f5257c7a6cd4182fb50a1b/nvr_green%2C_blue_men_set_of_2_beads_rakhi_with_roli_chawal_%26_chocolate.jpg,380,Beautiful rakhi crafted with care — perfect for celebrating the special bond of siblings.,https://www.ajio.com/nvr-men-set-of-2-beads-rakhi-with-roli-chawal--chocolate/p/701426896_multi,multi,Men
FIXOCRA Men Pack of 3 Printed Trunks,₹2599,Clothing,Trunks,https://assets.ajio.com/medias/sys_master/root1/20250922/BbSQ/68d13c5a8bfb9009ac22e61e/fixocra_sea_green_men_pack_of_3_printed_trunks.jpg,233,Comfortable regular-fit trunks in soft breathable fabric for all-day wear.,https://www.ajio.com/fixocra-men-pack-of-3-printed-trunks/p/702293152_seagreen,seagreen,Men
Fabula RFQ12-Skull Broad Band Ring,₹2199,Clothing,Rings,https://assets.ajio.com/medias/sys_master/root/20230727/RC2S/64c25ac8eebac147fc8dedcc/fabula_silver_rfq12-skull_broad_band_ring.jpg,327,Statement ring with unique design — a standout accessory for any look.,https://www.ajio.com/fabula-rfq12-skull-broad-band-ring/p/465297693_silver,silver,Men
Panicia Men Pack of 4 Printed Trunks,₹2399,Clothing,Trunks,https://assets.ajio.com/medias/sys_master/root/20250207/x4q2/67a5f455bc78b543a92c77a0/panicia_white_men_pack_of_4_printed_trunks.jpg,385,Comfortable regular-fit trunks in soft breathable fabric for all-day wear.,https://www.ajio.com/panicia-men-pack-of-4-printed-trunks/p/701176455_multi,multi,Men
Fabula Men Set of 2 Silver-Plated Stud Earrings,₹2399,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root1/20250805/ccky/6891f97a8bfb9009ac636006/fabula_silver-toned_men_set_of_2_silver-plated_stud_earrings.jpg,262,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/fabula-men-set-of-2-silver-plated-stud-earrings/p/702071012_silver,silver,Men
Fabula Men Silver-Plated Chain with Pendant,₹2599,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root1/20250825/uR4g/68ac4d508bfb9009aca8fa75/fabula_silver-toned_men_silver-plated_chain_with_pendant.jpg,163,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/fabula-men-silver-plated-chain-with-pendant/p/702146563_silver,silver,Men
Oomph Men Leather Bracelet,₹2599,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root1/20250716/e0Jr/687709536034bf77f0b0b7ee/oomph_black_men_leather_bracelet.jpg,162,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/oomph-men-leather-bracelet/p/701956019_black,black,Men
Fabula Men Classic Pendants with Chains,₹2899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root1/20250715/58md/6876639e6034bf77f0a43011/fabula_silver_men_classic_pendants_with_chains.jpg,331,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/fabula-men-classic-pendants-with-chains/p/701954783_silver,silver,Men
Oomph Men Set of 2 Silver-Plated Cubic Zirconia-Studded Stud Earrings,₹2699,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root1/20250715/pOBO/68768fbc6034bf77f0a76221/oomph_multicoloured_men_set_of_2_silver-plated_cubic_zirconia-studded_stud_earrings.jpg,343,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-men-set-of-2-silver-plated-cubic-zirconia-studded-stud-earrings/p/701950992_multi,multi,Men
Panicia Men Pack of 4 Printed Trunks,₹2399,Clothing,Trunks,https://assets.ajio.com/medias/sys_master/root1/20250922/Fdt5/68d139058bfb9009ac227099/panicia_white_men_pack_of_4_printed_trunks.jpg,383,Comfortable regular-fit trunks in soft breathable fabric for all-day wear.,https://www.ajio.com/panicia-men-pack-of-4-printed-trunks/p/702290825_multi,multi,Men
Panicia Pack Of 4 Regular Trunks,₹2399,Clothing,Trunks,https://assets.ajio.com/medias/sys_master/root1/20250922/1ES8/68d1402a3d468c61ab141838/panicia_black_pack_of_4_regular_trunks.jpg,209,Comfortable regular-fit trunks in soft breathable fabric for all-day wear.,https://www.ajio.com/panicia-pack-of-4-regular-trunks/p/702295525_black,black,Men
Fabula Men Set of 2 Silver-Plated Stud Earrings,₹2599,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root1/20250805/87SP/6891fa048bfb9009ac63712f/fabula_silver-toned_men_set_of_2_silver-plated_stud_earrings.jpg,290,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/fabula-men-set-of-2-silver-plated-stud-earrings/p/702070778_silver,silver,Men
NVR Pack of 2 Men Thread Bracelet,₹1799,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20250521/L4na/682cf3d255340d4b4f491398/nvr_multicoloured_pack_of_2_men_thread_bracelet.jpg,274,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/nvr-pack-of-2-men-thread-bracelet/p/701600903_multi,multi,Men
Fabula Men Silver-Toned Metal Knuckle Pendant Chain,₹2399,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root1/20251208/Fnwr/6936c027720fb821d3740acd/fabula_silver_men_silver-toned_metal_knuckle_pendant_chain.jpg,297,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/fabula-men-silver-toned-metal-knuckle-pendant-chain/p/702595676_silver,silver,Men
Fabula Men Set of 2 Silver-Plated Stud Earrings,₹2499,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root1/20250805/jySd/6891fd973d468c61ab4ca172/fabula_silver_men_set_of_2_silver-plated_stud_earrings.jpg,266,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/fabula-men-set-of-2-silver-plated-stud-earrings/p/702070789_silver,silver,Men
Hoodler Men T-Shirt with Round Neck,₹2199,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20241225/HQ2I/676b891c0f47f80c872052b4/hoodler_black_men_t-shirt_with_round_neck.jpg,166,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/hoodler-men-t-shirt-with-round-neck/p/700976613_black,black,Men
BHRM Men Chain with Captain America Pendant,₹1899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240102/e4yu/6594144fafa4cf41f5fcf56b/bhrm_multicoloured_men_chain_with_captain_america_pendant.jpg,245,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/bhrm-men-chain-with-captain-america-pendant/p/466939559_multi,multi,Men
Oomph Men Pendants with Chains,₹2799,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20241108/AFnO/672e2562f9b8ef490b0ea276/oomph_silver_men_pendants_with_chains.jpg,369,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/oomph-men-pendants-with-chains/p/700720318_silver,silver,Men
Oomph Men Classic Chain Pendent,₹2399,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root1/20251028/vhfq/6900c7bed3b48604f85062df/oomph_black_men_classic_chain_pendent.jpg,394,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/oomph-men-classic-chain-pendent/p/700667233_black,black,Men
Oomph Men Fashion Jewellery Chain,₹2999,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20241118/gFqe/673b54c90f47f80c87938236/oomph_silver_men_fashion_jewellery_chain.jpg,185,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/oomph-men-fashion-jewellery-chain/p/700770026_multi,multi,Men
Star Word Men Regular Fit Trunks with Elasticated Waist,₹1199,Clothing,Trunks,https://assets.ajio.com/medias/sys_master/root1/20250819/rTiP/68a382da3d468c61ab786d76/star_word_white_men_regular_fit_trunks_with_elasticated_waist.jpg,270,Comfortable regular-fit trunks in soft breathable fabric for all-day wear.,https://www.ajio.com/star-word-men-regular-fit-trunks-with-elasticated-waist/p/702123179_white,white,Men
BEACH CURVE Men Ribbed Socks,₹599,Clothing,Socks,https://assets.ajio.com/medias/sys_master/root1/20251203/prCT/692f470e8945db77cf072432/beach_curve_beige_men_ribbed_socks.jpg,178,High-performance socks with ribbed construction for grip and all-day comfort.,https://www.ajio.com/beach-curve-men-ribbed-socks/p/702578569_beige,beige,Men
BEACH CURVE Unisex Ribbed Socks,₹599,Clothing,Socks,https://assets.ajio.com/medias/sys_master/root1/20251203/PMnN/692f4b91720fb821d365d12a/beach_curve_white_unisex_ribbed_socks.jpg,282,High-performance socks with ribbed construction for grip and all-day comfort.,https://www.ajio.com/beach-curve-unisex-ribbed-socks/p/702579304_white,white,Men
BEACH CURVE Men Ribbed Socks,₹599,Clothing,Socks,https://assets.ajio.com/medias/sys_master/root1/20251203/2FNq/692f4be4720fb821d365dae4/beach_curve_blue_men_ribbed_socks.jpg,191,High-performance socks with ribbed construction for grip and all-day comfort.,https://www.ajio.com/beach-curve-men-ribbed-socks/p/702579203_blue,blue,Men
Star Word Men Regular Fit Trunks with Elasticated Waist,₹1199,Clothing,Trunks,https://assets.ajio.com/medias/sys_master/root1/20250818/Um2A/68a32a7e3d468c61ab755f41/star_word_navy_men_regular_fit_trunks_with_elasticated_waist.jpg,326,Comfortable regular-fit trunks in soft breathable fabric for all-day wear.,https://www.ajio.com/star-word-men-regular-fit-trunks-with-elasticated-waist/p/702123179_navy,navy,Men
BHRM Men Silver-Plated Chain with Pendant,₹1899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240102/fDbc/6593d7e6afa4cf41f5fac66b/bhrm_silver-toned_men_silver-plated_chain_with_pendant.jpg,321,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/bhrm-men-silver-plated-chain-with-pendant/p/466935266_silver,silver,Men
BHRM Men Slip-On Kada,₹2399,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20231219/IFic/65819cfaddf7791519d993e2/bhrm_black_men_slip-on_kada.jpg,386,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/bhrm-men-slip-on-kada/p/466898671_black,black,Men
NVR Stainless Steel Chain Link Kada Bracelet,₹2799,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20240705/by0h/66872c256f60443f317122d3/nvr_black_stainless_steel_chain_link_kada_bracelet.jpg,247,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/nvr-stainless-steel-chain-link-kada-bracelet/p/700163127_black,black,Men
BHRM Men Silver-Plated Chain with Pendant,₹1899,Clothing,Chains,https://assets.ajio.com/medias/sys_master/root/20240103/mQog/65946a2cafa4cf41f5fd972f/bhrm_red_men_silver-plated_chain_with_pendant.jpg,332,Lightweight plated chain with smooth clasp closure — ideal for daily wear.,https://www.ajio.com/bhrm-men-silver-plated-chain-with-pendant-/p/466935198_red,red,Men
Oomph Men Set of 2 Stone-Studded Stud Earrings,₹2699,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20250714/iB1R/687527a6b13fc54edd283a12/oomph_silver-toned_men_set_of_2_stone-studded_stud_earrings.jpg,376,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-men-set-of-2-stone-studded-stud-earrings/p/701947224_silver,silver,Men
